portfolio,metric,metric_label,value
Full Data - Ito,observations,Observations,5104.0
"Full Data - MACD(12,26,9)",observations,Observations,5104.0
Full Data - Buy & Hold,observations,Observations,5104.0
Test - Ito,observations,Observations,1532.0
"Test - MACD(12,26,9)",observations,Observations,1532.0
Test - Buy & Hold,observations,Observations,1532.0
Full Data - Ito,years,Years,20.253968253968253
"Full Data - MACD(12,26,9)",years,Years,20.253968253968253
Full Data - Buy & Hold,years,Years,20.253968253968253
Test - Ito,years,Years,6.079365079365079
"Test - MACD(12,26,9)",years,Years,6.079365079365079
Test - Buy & Hold,years,Years,6.079365079365079
Full Data - Ito,exposure,Market exposure,0.5703369905956113
"Full Data - MACD(12,26,9)",exposure,Market exposure,0.5309561128526645
Full Data - Buy & Hold,exposure,Market exposure,1.0
Test - Ito,exposure,Market exposure,0.6631853785900783
"Test - MACD(12,26,9)",exposure,Market exposure,0.5489556135770235
Test - Buy & Hold,exposure,Market exposure,1.0
Full Data - Ito,entries,Entries,116.0
"Full Data - MACD(12,26,9)",entries,Entries,166.0
Full Data - Buy & Hold,entries,Entries,
Test - Ito,entries,Entries,49.0
"Test - MACD(12,26,9)",entries,Entries,57.0
Test - Buy & Hold,entries,Entries,
Full Data - Ito,exits,Exits,115.0
"Full Data - MACD(12,26,9)",exits,Exits,165.0
Full Data - Buy & Hold,exits,Exits,
Test - Ito,exits,Exits,48.0
"Test - MACD(12,26,9)",exits,Exits,56.0
Test - Buy & Hold,exits,Exits,
Full Data - Ito,avg_daily_turnover,Average daily turnover,0.04525862068965517
"Full Data - MACD(12,26,9)",avg_daily_turnover,Average daily turnover,0.06485109717868338
Full Data - Buy & Hold,avg_daily_turnover,Average daily turnover,0.0
Test - Ito,avg_daily_turnover,Average daily turnover,0.06331592689295039
"Test - MACD(12,26,9)",avg_daily_turnover,Average daily turnover,0.0737597911227154
Test - Buy & Hold,avg_daily_turnover,Average daily turnover,0.0
Full Data - Ito,annual_turnover,Annual turnover,11.405172413793103
"Full Data - MACD(12,26,9)",annual_turnover,Annual turnover,16.342476489028215
Full Data - Buy & Hold,annual_turnover,Annual turnover,0.0
Test - Ito,annual_turnover,Annual turnover,15.955613577023499
"Test - MACD(12,26,9)",annual_turnover,Annual turnover,18.587467362924283
Test - Buy & Hold,annual_turnover,Annual turnover,0.0
Full Data - Ito,total_points,Total VN-Index points,1348.2560499999993
"Full Data - MACD(12,26,9)",total_points,Total VN-Index points,2489.2275100000006
Full Data - Buy & Hold,total_points,Total VN-Index points,1557.87
Test - Ito,total_points,Total VN-Index points,379.70296499999887
"Test - MACD(12,26,9)",total_points,Total VN-Index points,840.5531100000004
Test - Buy & Hold,total_points,Total VN-Index points,1031.1599999999999
Full Data - Ito,annual_points,Annual VN-Index points,66.56750090125388
"Full Data - MACD(12,26,9)",annual_points,Annual VN-Index points,122.90073129310349
Full Data - Buy & Hold,annual_points,Annual VN-Index points,76.9167789968652
Test - Ito,annual_points,Annual VN-Index points,62.45766787206248
"Test - MACD(12,26,9)",annual_points,Annual VN-Index points,138.26330530026118
Test - Buy & Hold,annual_points,Annual VN-Index points,169.61639686684072
Full Data - Ito,avg_daily_points,Average daily points,0.26415674960815033
"Full Data - MACD(12,26,9)",avg_daily_points,Average daily points,0.4877013146551725
Full Data - Buy & Hold,avg_daily_points,Average daily points,0.3052253134796238
Test - Ito,avg_daily_points,Average daily points,0.2478478883812003
"Test - MACD(12,26,9)",avg_daily_points,Average daily points,0.5486639099216712
Test - Buy & Hold,avg_daily_points,Average daily points,0.6730809399477806
Full Data - Ito,best_day_points,Best day points,53.600000000000136
"Full Data - MACD(12,26,9)",best_day_points,Best day points,79.00999999999999
Full Data - Buy & Hold,best_day_points,Best day points,79.00999999999999
Test - Ito,best_day_points,Best day points,53.600000000000136
"Test - MACD(12,26,9)",best_day_points,Best day points,79.00999999999999
Test - Buy & Hold,best_day_points,Best day points,79.00999999999999
Full Data - Ito,worst_day_points,Worst day points,-115.05000000000018
"Full Data - MACD(12,26,9)",worst_day_points,Worst day points,-94.76000000000022
Full Data - Buy & Hold,worst_day_points,Worst day points,-115.05000000000018
Test - Ito,worst_day_points,Worst day points,-115.05000000000018
"Test - MACD(12,26,9)",worst_day_points,Worst day points,-94.76000000000022
Test - Buy & Hold,worst_day_points,Worst day points,-115.05000000000018
Full Data - Ito,total_return,Total return,6.707436886877498
"Full Data - MACD(12,26,9)",total_return,Total return,32.191208288415396
Full Data - Buy & Hold,total_return,Total return,5.066243902439015
Test - Ito,total_return,Total return,0.3074699110835688
"Test - MACD(12,26,9)",total_return,Total return,0.8809997304813664
Test - Buy & Hold,total_return,Total return,1.2360916316035522
Full Data - Ito,cagr,CAGR,0.10608739327423433
"Full Data - MACD(12,26,9)",cagr,CAGR,0.18876917070752253
Full Data - Buy & Hold,cagr,CAGR,0.09308801994914728
Test - Ito,cagr,CAGR,0.04508581042649795
"Test - MACD(12,26,9)",cagr,CAGR,0.1095182219188382
Test - Buy & Hold,cagr,CAGR,0.1415313546142709
Full Data - Ito,annual_return_arithmetic,Annualized mean return,0.11315737320649408
"Full Data - MACD(12,26,9)",annual_return_arithmetic,Annualized mean return,0.18307953486402087
Full Data - Buy & Hold,annual_return_arithmetic,Annualized mean return,0.11401525845853439
Test - Ito,annual_return_arithmetic,Annualized mean return,0.055097805810294595
"Test - MACD(12,26,9)",annual_return_arithmetic,Annualized mean return,0.1109609078752717
Test - Buy & Hold,annual_return_arithmetic,Annualized mean return,0.1521491231316784
Full Data - Ito,annual_volatility,Annual volatility,0.1567404652909123
"Full Data - MACD(12,26,9)",annual_volatility,Annual volatility,0.1422288027069394
Full Data - Buy & Hold,annual_volatility,Annual volatility,0.22326562276942136
Test - Ito,annual_volatility,Annual volatility,0.14757076489042995
"Test - MACD(12,26,9)",annual_volatility,Annual volatility,0.11815960941260556
Test - Buy & Hold,annual_volatility,Annual volatility,0.19805857548417338
Full Data - Ito,downside_volatility,Downside volatility,0.15798927673239607
"Full Data - MACD(12,26,9)",downside_volatility,Downside volatility,0.13758656510940562
Full Data - Buy & Hold,downside_volatility,Downside volatility,0.17025246903674543
Test - Ito,downside_volatility,Downside volatility,0.16207677942681167
"Test - MACD(12,26,9)",downside_volatility,Downside volatility,0.13226465855334743
Test - Buy & Hold,downside_volatility,Downside volatility,0.17272108600466496
Full Data - Ito,sharpe,Sharpe ratio,0.7219410316057987
"Full Data - MACD(12,26,9)",sharpe,Sharpe ratio,1.2872184211608242
Full Data - Buy & Hold,sharpe,Sharpe ratio,0.5106709086883663
Test - Ito,sharpe,Sharpe ratio,0.37336531969055153
"Test - MACD(12,26,9)",sharpe,Sharpe ratio,0.9390764612957001
Test - Buy & Hold,sharpe,Sharpe ratio,0.7682026529764497
Full Data - Ito,sortino,Sortino ratio,0.716234516334683
"Full Data - MACD(12,26,9)",sortino,Sortino ratio,1.3306497965004094
Full Data - Buy & Hold,sortino,Sortino ratio,0.6696834360383143
Test - Ito,sortino,Sortino ratio,0.3399487946709534
"Test - MACD(12,26,9)",sortino,Sortino ratio,0.8389308912064133
Test - Buy & Hold,sortino,Sortino ratio,0.8808948962234354
Full Data - Ito,calmar,Calmar ratio,0.25114101859907145
"Full Data - MACD(12,26,9)",calmar,Calmar ratio,0.5072534458211755
Full Data - Buy & Hold,calmar,Calmar ratio,0.11652999167410016
Test - Ito,calmar,Calmar ratio,0.22185998724054723
"Test - MACD(12,26,9)",calmar,Calmar ratio,0.4348691672484539
Test - Buy & Hold,calmar,Calmar ratio,0.3508206702494621
Full Data - Ito,max_drawdown,Max drawdown,-0.4224216094448323
"Full Data - MACD(12,26,9)",max_drawdown,Max drawdown,-0.3721397503804641
Full Data - Buy & Hold,max_drawdown,Max drawdown,-0.7988331468304475
Test - Ito,max_drawdown,Max drawdown,-0.20321740295429913
"Test - MACD(12,26,9)",max_drawdown,Max drawdown,-0.25184177257677853
Test - Buy & Hold,max_drawdown,Max drawdown,-0.4034293489993921
Full Data - Ito,avg_drawdown,Average drawdown,-0.1508346240382507
"Full Data - MACD(12,26,9)",avg_drawdown,Average drawdown,-0.06944124060424801
Full Data - Buy & Hold,avg_drawdown,Average drawdown,-0.35662306041377007
Test - Ito,avg_drawdown,Average drawdown,-0.09699376622059398
"Test - MACD(12,26,9)",avg_drawdown,Average drawdown,-0.07701148893958258
Test - Buy & Hold,avg_drawdown,Average drawdown,-0.14216937689514234
Full Data - Ito,ulcer_index,Ulcer index,0.17005607044559845
"Full Data - MACD(12,26,9)",ulcer_index,Ulcer index,0.08993410941073324
Full Data - Buy & Hold,ulcer_index,Ulcer index,0.41082204188793237
Test - Ito,ulcer_index,Ulcer index,0.10629423213295962
"Test - MACD(12,26,9)",ulcer_index,Ulcer index,0.08915238906872006
Test - Buy & Hold,ulcer_index,Ulcer index,0.16849890944256032
Full Data - Ito,max_drawdown_duration_days,Max drawdown duration days,1061.0
"Full Data - MACD(12,26,9)",max_drawdown_duration_days,Max drawdown duration days,975.0
Full Data - Buy & Hold,max_drawdown_duration_days,Max drawdown duration days,2744.0
Test - Ito,max_drawdown_duration_days,Max drawdown duration days,1031.0
"Test - MACD(12,26,9)",max_drawdown_duration_days,Max drawdown duration days,975.0
Test - Buy & Hold,max_drawdown_duration_days,Max drawdown duration days,882.0
Full Data - Ito,avg_drawdown_duration_days,Average drawdown duration days,70.01428571428572
"Full Data - MACD(12,26,9)",avg_drawdown_duration_days,Average drawdown duration days,30.096153846153847
Full Data - Buy & Hold,avg_drawdown_duration_days,Average drawdown duration days,90.03636363636363
Test - Ito,avg_drawdown_duration_days,Average drawdown duration days,56.0
"Test - MACD(12,26,9)",avg_drawdown_duration_days,Average drawdown duration days,36.794871794871796
Test - Buy & Hold,avg_drawdown_duration_days,Average drawdown duration days,25.88888888888889
Full Data - Ito,win_rate,Daily win rate,0.31308777429467083
"Full Data - MACD(12,26,9)",win_rate,Daily win rate,0.2987852664576803
Full Data - Buy & Hold,win_rate,Daily win rate,0.5411442006269592
Test - Ito,win_rate,Daily win rate,0.3766318537859008
"Test - MACD(12,26,9)",win_rate,Daily win rate,0.31723237597911225
